CODE_Origin,CODE_Destination,Coste,Carga,Capacidad,daily_movement
Bratislava,Vienna,7,Optimal,60,48.0
Sarajevo,Mostar,3,Optimal,30,24.0
Prague,Brno,8,Optimal,70,56.0
Prague,Olomouc,6,Optimal,50,40.0
Dublin,Belfast,9,Optimal,80,64.0
Dublin,Cork,7,Optimal,60,48.0
Lisbonne,Porto,9,Optimal,90,72.0
Lisbonne,Braga,8,Optimal,70,56.0
Moscow,Kharkiv,15,Optimal,26,20.8
Patras,Thessaloniki,8,Optimal,15,12.0
Nantes,Paris,11,Optimal,70,56.0
Monaco,Marseille,9,Optimal,65,52.0
Milan,Turin,10,Optimal,55,44.0
Minsk,Vilnius,13,Optimal,25,20.0
Paris,Strasbourg,15,Optimal,90,72.0
Luxembourg,Nice,13,Optimal,75,60.0
Alicante,Elche,9,Optimal,65,52.0
Paris,London,20,Optimal,17,13.600000000000001
Kosice,Krakow,9,Optimal,15,12.0
Milan,Monaco,10,Optimal,55,44.0
Split,Mostar,10,Optimal,55,44.0
Podgorica,Mostar,10,Optimal,55,44.0
Ljubljana,Berne,13,Optimal,75,60.0
Berne,Terrassa,12,Optimal,65,52.0
Terrassa,Oviedo,10,Optimal,70,56.0
Clermont-Ferrand,Paris,3,Optimal,4,3.2
Odessa,Chisinau,13,Optimal,90,72.0
Palma,Oporto,11,Optimal,70,56.0
Odessa,Kiev,13,Optimal,90,72.0
Pristina,Skopje,13,Optimal,90,72.0
Toulouse,Bilbao,15,Optimal,8,6.4
Uppsala,Stockholm,14,Optimal,80,64.0
Vitoria-Gasteiz,Santander,10,Optimal,75,60.0
Seville,Santa Cruz de Tenerife,11,Optimal,65,52.0
Santa Cruz de Tenerife,Granada,12,Optimal,55,44.0
Toulouse,Clermont-Ferrand,15,Optimal,8,6.4
Calais,Paris,14,Optimal,65,52.0
Valladolid,La Coruna,12,Optimal,85,68.0
Vilnius,Moscow,9,Optimal,45,36.0
Malaga,Granada,9,Optimal,45,36.0
Malmo,Stockholm,9,Optimal,45,36.0
Plymouth,Santander,14,Optimal,70,56.0
Plymouth,London,10,Optimal,65,52.0
Kiev,Kharkiv,9,Optimal,15,12.0
La Coruna,Vigo,8,Optimal,12,9.600000000000001
Valladolid,Madrid,7,Optimal,12,9.600000000000001
Aalborg,Copenhague,12,Optimal,90,72.0
Bergen,Stavanger,5,Optimal,12,9.600000000000001
Alicante,Las Palmas de Gran Canaria,10,Optimal,70,56.0
Oviedo,Gijon,13,Optimal,65,52.0
Cartagena,Murcia,13,Optimal,90,72.0
Pristina,Podgorica,12,Optimal,85,68.0
Podgorica,Odessa,15,Optimal,75,60.0
Munich,Prague,12,Optimal,85,68.0
Olomouc,Krakow,10,Optimal,95,76.0
Warsaw,Berlin,9,Optimal,100,80.0
Warsaw,Vilnius,8,Optimal,75,60.0
Vilnius,Krakow,11,Optimal,70,56.0
Hamburg,Copenhague,11,Optimal,70,56.0
